,Product Name,RAM,Display,Camera,Battery,Warranty,Price,Rating
387,"SAMSUNG Galaxy A71 (Prism Crush Black, 128 GB)",4 GB RAM | 128 GB ROM,16.26 cm (6.4 inch) Quad HD+ Display,25MP + 5MP + 8MP | 16MP Front Camera,5000 mAh Battery,1 Year Manufacturer Warranty,"₹18,499",4.2
388,"SAMSUNG Galaxy A71 (Prism Crush Black, 128 GB)",4 GB RAM | 128 GB ROM,16.76 cm (6.6 inch) Full HD+ Display,48MP Rear Camera,2600 mAh Battery,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories,"₹18,634",4.2
389,"SAMSUNG Galaxy A71 (Prism Crush Black, 128 GB)",4 GB RAM | 128 GB ROM,14.22 cm (5.6 inch) HD+ Display,24MP + 5MP + 10MP + 8MP | 24MP Front Camera,4000 mAh Lithium-ion Battery,1 Year Manufacturer Warranty for Handset and 6 Months Warranty for In the Box Accessories,"₹9,497",4.2
390,"SAMSUNG Galaxy A71 (Prism Crush Black, 128 GB)",4 GB RAM | 128 GB ROM,15.24 cm (6 inch) Full HD Display,12MP + 12MP | 8MP Front Camera,3300 mAh Li-Ion Battery,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories,"₹15,999",4.3
391,"SAMSUNG Galaxy A71 (Prism Crush Black, 128 GB)",4 GB RAM | 128 GB ROM,16.26 cm (6.4 inch) HD+ Display,12MP + 12MP + 12MP | 32MP Front Camera,3300 mAh Li-ion Battery,1 Year Warranty Provided by the Manufacturer from Date of Purchase,"₹23,999",4.2
392,"SAMSUNG Galaxy A71 (Prism Crush Black, 128 GB)",4 GB RAM | 128 GB ROM,16.76 cm (6.6 inch) Full HD+ Display,3.1MP Rear Camera | 0.3MP Front Camera,4500 mAh Lithium-ion Battery,1 Year Warranty Provided by the Manufacturer From Date of Purchase,"₹23,999",4.3
393,"SAMSUNG Galaxy A71 (Prism Crush Black, 128 GB)",4 GB RAM | 128 GB ROM,16.26 cm (6.4 inch) Full HD+ Display,12MP Rear Camera | 2.1MP Front Camera,4300 mAh Battery,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories,"₹23,999",4.2
394,"SAMSUNG Galaxy A71 (Prism Crush Black, 128 GB)",4 GB RAM | 128 GB ROM,Super AMOLED Display,64MP + 12MP + 8MP + 5MP | 32MP Front Camera,5000 mAh Lithium-ion Battery,1 Year Manufacturer Warranty,"₹19,999",4.2
395,"SAMSUNG Galaxy A71 (Prism Crush Black, 128 GB)",4 GB RAM | 128 GB ROM,12.7 cm (5 inch) HD Display,12MP Rear Camera | 12MP Front Camera,4500 mAh Lithium-ion Battery,1 Year Warranty Provided by the Manufacturer from Date of Purchase,"₹11,499",4.3
396,"SAMSUNG Galaxy A71 (Prism Crush Black, 128 GB)",4 GB RAM | 128 GB ROM,17.02 cm (6.7 inch) Full HD+ Display,64MP + 12MP + 12MP | 10MP Front Camera,4000 mAh Li-ion Battery,1 Year Warranty Provided by the Manufacturer from Date of Purchase,"₹12,499",4.3
